deleted_duplicate_id,original_id
house-2006-06-14.138.8,house-2006-06-14.137.4
house-2006-06-19.85.8,house-2006-06-19.79.9
senate-2006-09-04.69.3,senate-2006-09-04.67.3
house-2006-10-18.35.1,house-2006-10-18.46.1
house-2006-10-18.37.1,house-2006-10-18.48.1
house-2006-10-18.45.11,house-2006-10-18.34.11
house-2006-10-18.47.1,house-2006-10-18.36.1
house-2006-10-18.49.1,house-2006-10-18.38.1
house-2006-10-18.49.5,house-2006-10-18.38.5
house-2006-11-02.41.1,house-2006-11-02.59.1
house-2006-11-02.54.1,house-2006-11-02.36.1
house-2006-11-02.53.1,house-2006-11-02.35.1
house-2006-11-02.39.1,house-2006-11-02.57.1
house-2006-11-02.56.1,house-2006-11-02.38.1
house-2006-11-02.56.14,house-2006-11-02.38.14
house-2006-11-02.56.20,house-2006-11-02.38.20
house-2006-11-02.57.26,house-2006-11-02.39.26
house-2006-11-02.58.1,house-2006-11-02.40.1
house-2006-11-02.59.5,house-2006-11-02.41.5
house-2006-11-02.59.6,house-2006-11-02.41.6
house-2006-11-02.37.1,house-2006-11-02.55.1
house-2006-11-02.38.21,house-2006-11-02.56.21
house-2006-11-02.57.13,house-2006-11-02.39.13
senate-2006-12-06.121.2,senate-2006-12-06.120.2
senate-2006-12-06.123.2,senate-2006-12-06.120.2
senate-2007-03-29.145.3,senate-2007-03-29.137.2
senate-2007-09-10.182.9,senate-2007-09-10.170.3
house-2008-08-27.137.4,house-2008-08-27.134.17
house-2008-09-15.33.14,house-2008-09-15.33.8
house-2009-02-04.12.32,house-2009-02-04.9.83
house-2009-02-04.14.18,house-2009-02-04.9.83
house-2009-02-04.16.21,house-2009-02-04.9.83
house-2009-02-04.18.10,house-2009-02-04.9.83
house-2009-02-04.20.28,house-2009-02-04.9.83
house-2009-02-12.114.6,house-2009-02-12.111.73
house-2009-02-12.118.11,house-2009-02-12.116.10
house-2009-02-12.120.7,house-2009-02-12.116.10
house-2009-02-12.122.7,house-2009-02-12.116.10
house-2009-06-02.44.7,house-2009-06-02.44.5
house-2009-06-22.70.3,house-2009-06-22.69.5
house-2009-08-11.7.12,house-2009-08-11.5.9
house-2009-08-13.92.5,house-2009-08-13.91.5
house-2009-10-19.130.6,house-2009-10-19.129.5
senate-2010-03-10.34.1,house-2010-03-10.34.1
house-2010-03-18.8.6,house-2010-03-18.6.6
